Mean,Median,Mode,Kurtosis,Skewness,Standard Deviation,Variance,Standard Error,Max,Min,Sum,Range,2nd Quartile,RMS,Count,Shape Factor,Impulse Factor,K Factor,Condition
-0.000615668,-0.003968431,-0.078647107,0.259438826,0.073967045,0.186007087,0.034598636,0.003396575,0.74991339,-0.67415237,-1.847004358,1.42406576,-0.003968431,0.186008106,3000,1.270389402,5.121723149,0.248039452,Healthy
0.001030269,0.002104472,-0.038962785,0.450157605,0.001689057,0.174655631,0.030504589,0.003189293,0.69952631,-0.65262669,3.090807518,1.352153,0.002104472,0.17465867,3000,1.288486309,5.160522948,0.249681345,Healthy
-0.001700573,-0.002344983,-0.042329941,0.427883835,0.107851741,0.189020599,0.035728787,0.003451604,0.78767359,-0.7574895,-5.101719404,1.54516309,-0.002344983,0.189028248,3000,1.283407512,5.347910753,0.239982971,Healthy
6.40E-05,-0.002826004,0.082014263,0.497224256,0.04823004,0.185276407,0.034327347,0.003383233,0.73415989,-0.71960896,0.191927968,1.45376885,-0.002826004,0.185276418,3000,1.279855126,5.07144034,0.252365214,Healthy
0.000768874,-0.0010823,-0.032108221,0.374217196,0.056789118,0.181143707,0.032813042,0.003307768,0.67643726,-0.63134146,2.306620888,1.30777872,-0.0010823,0.181145338,3000,1.281894096,4.786879628,0.267793259,Healthy
0.001202475,-0.002826004,-0.11508453,0.312799084,0.130361258,0.188513261,0.03553725,0.003442339,0.69098818,-0.66597503,3.607424713,1.35696321,-0.002826004,0.188517096,3000,1.275894412,4.676647238,0.272822462,Healthy
7.55E-05,-0.002645621,0.048342716,0.582381022,0.033121208,0.17657218,0.031177735,0.00322429,0.74185628,-0.74534369,0.226441499,1.48719997,-0.002645621,0.176572197,3000,1.285285965,5.425428253,0.236900371,Healthy
-0.001233942,-0.00348741,-0.099090539,0.51683212,0.068631657,0.18093161,0.032736247,0.003303895,0.80703473,-0.68701977,-3.701825733,1.4940545,-0.00348741,0.180935817,3000,1.280845944,5.713004627,0.224198303,Healthy
-0.001076648,-0.001803833,-0.003848176,0.465682476,0.087507907,0.179111166,0.03208081,0.003270653,0.6930325,-0.61847413,-3.229943119,1.31150663,-0.001803833,0.179114402,3000,1.283523121,4.966229566,0.258450219,Healthy
0.001648663,0.004689965,-0.065178491,0.454833864,0.061930923,0.170376724,0.029028228,0.003111158,0.66813964,-0.59718889,4.945989077,1.26532853,0.004689965,0.170384701,3000,1.28218478,5.027907274,0.255013609,Healthy
-0.000256024,-0.004088688,-0.15645242,0.751818025,0.102053439,0.18352406,0.033681081,0.003351234,0.86463714,-0.66657633,-0.768071972,1.53121347,-0.004088688,0.183524239,3000,1.290482605,6.079846429,0.21225579,Healthy
6.16E-05,0.000120256,-0.17761739,0.819491173,-0.04126158,0.182318759,0.03324013,0.003329225,0.75400203,-0.89818841,0.184832752,1.65219044,0.000120256,0.182318769,3000,1.297614284,6.392661144,0.202984994,Healthy
-3.69E-06,0.000841789,0.02116497,0.376493869,0.004355123,0.180881949,0.03271828,0.003302988,0.63783526,-0.62917686,-0.01106368,1.26701212,0.000841789,0.180881949,3000,1.28147079,4.518788397,0.283587253,Healthy
0.00224521,0.000962044,-0.019481393,0.490278191,0.056042864,0.172127105,0.02962774,0.003143121,0.65839893,-0.57482135,6.735631324,1.23322028,0.000962044,0.172141748,3000,1.290601322,4.936225753,0.261455085,Healthy
0.000965371,0.000661406,0.030785412,0.66751206,0.04556274,0.181644558,0.032994745,0.003316914,0.75797051,-0.74750829,2.896113512,1.5054788,0.000661406,0.181647123,3000,1.294114399,5.400033509,0.239649327,Healthy
-0.00244271,-0.001563322,-0.15188271,0.672050941,-0.017867938,0.182767291,0.033403883,0.003337415,0.81845903,-0.76410353,-7.328130626,1.58256256,-0.001563322,0.182783613,3000,1.284579214,5.752022502,0.223326528,Healthy
-0.002845246,-0.001803833,0.03944381,0.616616179,0.011174404,0.17641789,0.031123272,0.003221472,0.82302874,-0.64974052,-8.535736588,1.47276926,-0.001803833,0.176440833,3000,1.288947814,6.012446662,0.214379917,Healthy
0.000696841,0.001082299,-0.028500557,0.279357223,0.077135884,0.173624613,0.030145506,0.003170466,0.77095807,-0.57566315,2.090521929,1.34662122,0.001082299,0.173626011,3000,1.27955522,5.681656893,0.225208112,Healthy
0.000294706,-0.000721533,0.034633588,0.508038064,0.097674369,0.17756515,0.031529382,0.003242422,0.71431774,-0.65924072,0.884118568,1.37355846,-0.000721533,0.177565394,3000,1.278374406,5.142699795,0.248580407,Healthy
0.000898749,0.002705749,-0.23004879,0.642406149,0.019140558,0.176601905,0.031188233,0.003224832,0.70950752,-0.66381043,2.696248478,1.37331795,0.002705749,0.176604192,3000,1.285502356,5.164507024,0.248910951,Healthy
0.002560801,0.003667793,-0.003848176,0.810661275,0.075264733,0.172600123,0.029790802,0.003151758,0.77228087,-0.6917097,7.682403263,1.46399057,0.003667793,0.172619118,3000,1.290076431,5.77167441,0.223518573,Healthy
-1.22E-05,0.003066516,-0.1340849,0.539085122,-0.00523596,0.175764908,0.030893303,0.003209548,0.78743309,-0.71960896,-0.036678154,1.50704205,0.003066516,0.175764908,3000,1.28913155,5.77535556,0.223212499,Healthy
0.00023041,0.001443066,-0.047260415,0.557172994,0.050315661,0.168973995,0.028552211,0.003085543,0.6957984,-0.64565182,0.691228995,1.34145022,0.001443066,0.168974152,3000,1.291484051,5.318047331,0.242849296,Healthy
-0.002702983,-0.005050731,0.028620811,0.258416069,-0.066955714,0.174094617,0.030308936,0.003179048,0.7009694,-0.71431774,-8.1089489,1.41528714,-0.005050731,0.174115598,3000,1.263928638,5.18532892,0.243750909,Healthy
-6.29E-05,0.002705749,-0.091754958,0.299453513,-0.035234634,0.203717292,0.041500735,0.003719972,0.66092432,-0.80691451,-0.188801197,1.46783883,0.002705749,0.203717301,3000,1.278647245,5.064660726,0.252464541,Healthy
-0.000672549,0.000781661,0.021044714,1.061495362,0.049542563,0.231262683,0.053482429,0.004222963,1.0471849,-1.0456216,-2.017646938,2.0928065,0.000781661,0.231263661,3000,1.310122335,5.93236447,0.220843197,Healthy
-0.00136502,-0.003246899,-0.016715515,0.327948365,0.066162034,0.179014749,0.03204628,0.003268892,0.78671157,-0.67523468,-4.095060917,1.46194625,-0.003246899,0.179019953,3000,1.268020432,5.572375199,0.227554748,Healthy
0.00068706,0.000300639,0.063735418,0.624832356,0.057326379,0.20188291,0.040756709,0.003686475,0.82350975,-0.87690318,2.061179497,1.70041293,0.000300639,0.201884079,3000,1.288531031,5.596860167,0.23022391,Healthy
0.000125507,-0.000601278,-0.007215331,1.006472671,-0.07567003,0.230170141,0.052978294,0.004203013,0.84984571,-0.92632824,0.376519801,1.77617395,-0.000601278,0.230170175,3000,1.31263367,5.28274194,0.248475826,Healthy
-0.000490121,-0.000360767,-0.013588873,1.18603859,-0.083995204,0.155655248,0.024228556,0.002842337,0.63903779,-0.79260409,-1.470364136,1.43164188,-0.000360767,0.155656019,3000,1.304647162,6.643293852,0.196385587,Healthy
0.00096457,0.001443066,-0.052190892,0.959862629,0.075822745,0.121210198,0.014691912,0.002213354,0.57999235,-0.53068757,2.893708509,1.11067992,0.001443066,0.121214036,3000,1.300849644,6.224385147,0.208992473,Healthy
0.000739732,0.002585494,-0.10354,0.147672179,-0.025305678,0.11179057,0.012497131,0.002041347,0.40453956,-0.37808332,2.219195322,0.78262288,0.002585494,0.111793017,3000,1.26391181,4.573651745,0.276346316,Healthy
